date,t
8/2/20,57788.6509059359
8/3/20,57962.25825810528
8/4/20,58144.06802026631
8/5/20,58325.23913878171
8/6/20,58505.496638476245
8/7/20,58684.83637501392
8/8/20,58863.2627443891
8/9/20,59040.780389579995
8/10/20,59217.39393843551
8/11/20,59393.107995504295
8/12/20,59567.92714189256
8/13/20,59741.85593537523
8/14/20,59914.89891051452
8/15/20,60087.06057877817
8/16/20,60258.345428657005
8/17/20,60428.75792578201
8/18/20,60598.30251304074
8/19/20,60766.98361069314
8/20/20,60934.8056164868
8/21/20,61101.77290577162
8/22/20,61267.88983161385
8/23/20,61433.160724909605
8/24/20,61597.58989449777
8/25/20,61761.18162727233
8/26/20,61923.94018829417
8/27/20,62085.86982090222
8/28/20,62246.97474682412
8/29/20,62407.25916628627
8/30/20,62566.72725812334
8/31/20,62725.38317988723
9/1/20,62883.23106795543
9/2/20,63040.27503763891
9/3/20,63196.51918328937
9/4/20,63351.967578406
9/5/20,63506.6242757417
9/6/20,63660.49330740869
9/7/20,63813.57868498369
9/8/20,63965.88439961247
9/9/20,64117.414422113936
9/10/20,64268.17270308362
9/11/20,64418.16317299669
9/12/20,64567.38974231046
9/13/20,64715.85630156625
9/14/20,64863.56672149093
9/15/20,65010.52485309775
9/16/20,65156.73452778678
9/17/20,65302.19955744479
9/18/20,65446.92373454463
9/19/20,65590.91083224412
9/20/20,65734.1646044844
9/21/20,65876.68878608779
9/22/20,66018.48709285523
9/23/20,66159.56322166306
9/24/20,66299.92085055949
9/25/20,66439.5636388604
9/26/20,66578.49522724486
9/27/20,66716.71923784992
9/28/20,66854.23927436513
9/29/20,66991.0589221265
9/30/20,67127.1817482099
10/1/20,67262.61130152413
10/2/20,67397.3511129034
10/3/20,67531.40469519944
10/4/20,67664.77554337298
10/5/20,67797.467134585
10/6/20,67929.48292828728
10/7/20,68060.82636631266
10/8/20,68191.50087296471
10/9/20,68321.50985510707
10/10/20,68450.85670225225
10/11/20,68579.54478664995
10/12/20,68707.57746337506
10/13/20,68834.95807041507
10/14/20,68961.68992875716
10/15/20,69087.77634247468
10/16/20,69213.2205988134
10/17/20,69338.02596827714
10/18/20,69462.1957047131
10/19/20,69585.73304539661
10/20/20,69708.6412111156
10/21/20,69830.92340625453
