date,t
8/30/20,45888.538948898735
8/31/20,45757.40125910271
9/1/20,45628.716700502555
9/2/20,45502.33621166359
9/3/20,45378.22361748255
9/4/20,45256.337970841705
9/5/20,45136.63932599384
9/6/20,45019.08844082439
9/7/20,44903.64677798746
9/8/20,44790.276491583274
9/9/20,44678.94041478478
9/10/20,44569.602047651366
9/11/20,44462.225545162975
9/12/20,44356.77570546882
9/13/20,44253.21795834695
9/14/20,44151.51835387092
9/15/20,44051.64355127976
9/16/20,43953.56080804773
9/17/20,43857.2379691501
9/18/20,43762.643456521604
9/19/20,43669.74625870404
9/20/20,43578.5159206796
9/21/20,43488.92253388661
9/22/20,43400.936726414446
9/23/20,43314.52965337438
9/24/20,43229.672987443206
9/25/20,43146.33890957649
9/26/20,43064.50009988854
9/27/20,42984.12972869594
9/28/20,42905.20144772184
9/29/20,42827.689381458054
9/30/20,42751.568118682124
10/1/20,42676.81270412663
10/2/20,42603.398630297954
10/3/20,42531.30182944187
10/4/20,42460.49866565324
10/5/20,42390.96592712735
10/6/20,42322.68081855023
10/7/20,42255.620953625556
10/8/20,42189.76434773561
10/9/20,42125.08941073395
10/10/20,42061.57493986736
10/11/20,41999.20011282486
10/12/20,41937.94448091142
10/13/20,41877.787962344104
10/14/20,41818.71083566857
10/15/20,41760.69373329369
10/16/20,41703.717635142115
10/17/20,41647.76386241487
10/18/20,41592.814071467736
10/19/20,41538.85024779756
10/20/20,41485.85470013649
10/21/20,41433.81005465209
